dateCompleted	meanID	userSurveyID	value	answers	dateStart	itemsetID	kpiName	isDeleted	sex	birthDate	entryDate	age	employment	orgNodeID	orgNodeLabel	orgNodeShortLabel	orgNodeLeft	orgNodeRight	orgNodeLevel
2019-12-01	48	10	8.0	1	2019-12-01	102009	direct_superior	0	m	1960-02-09	2019-01-26	59	0	100	Switzerland	Switzerland	2	3	2
2019-12-01	49	10	6.0	2	2019-12-01	102020	personal_development	0	m	1960-02-09	2019-01-26	59	0	100	Switzerland	Switzerland	2	3	2
2019-12-01	50	10	3.0	1	2019-12-01	102022	communication	0	m	1960-02-09	2019-01-26	59	0	100	Switzerland	Switzerland	2	3	2
2019-12-01	51	10	6.0	1	2019-12-01	102024	rewards	0	m	1960-02-09	2019-01-26	59	0	100	Switzerland	Switzerland	2	3	2
2019-12-01	52	10	5.0	1	2019-12-01	102031	satisfaction	0	m	1960-02-09	2019-01-26	59	0	100	Switzerland	Switzerland	2	3	2
2019-12-01	53	10	7.0	1	2019-12-01	102033	commitment	0	m	1960-02-09	2019-01-26	59	0	100	Switzerland	Switzerland	2	3	2
2019-12-01	54	10	4.0	1	2019-12-01	102035	emotional_exhaustion	0	m	1960-02-09	2019-01-26	59	0	100	Switzerland	Switzerland	2	3	2
2019-12-08	624	128	4.0	1	2019-12-08	102009	direct_superior	0	m	1960-02-09	2019-01-26	59	0	100	Switzerland	Switzerland	2	3	2
2019-12-08	625	128	4.0	1	2019-12-08	102020	personal_development	0	m	1960-02-09	2019-01-26	59	0	100	Switzerland	Switzerland	2	3	2
2019-12-08	626	128	6.0	2	2019-12-08	102022	communication	0	m	1960-02-09	2019-01-26	59	0	100	Switzerland	Switzerland	2	3	2
2019-12-08	627	128	4.0	1	2019-12-08	102024	rewards	0	m	1960-02-09	2019-01-26	59	0	100	Switzerland	Switzerland	2	3	2
2019-12-08	628	128	8.0	1	2019-12-08	102031	satisfaction	0	m	1960-02-09	2019-01-26	59	0	100	Switzerland	Switzerland	2	3	2
2019-12-08	629	128	6.0	2	2019-12-08	102035	emotional_exhaustion	0	m	1960-02-09	2019-01-26	59	0	100	Switzerland	Switzerland	2	3	2
